2024-04-06; 16:15:05.379898; b'[32] PING\n'; 2024-04-06; 16:15:09.112459; KeepAlive;
2024-04-06; 16:15:09.113461; b'[33] PING\n'; 2024-04-06; 16:15:09.113461; [27/33] PONG (0);
2024-04-06; 16:15:09.113461; b'[33] PING\n'; 2024-04-06; проигнорировано; проигнорировано;
2024-04-06; 16:15:09.113461; b'[33] PING\n'; 2024-04-06; 16:15:10.871119; KeepAlive;
2024-04-06; 16:15:10.872999; b'[33] PING\n'; 2024-04-06; 16:15:10.872999; [30/33] PONG (1);
2024-04-06; 16:15:14.993481; b'[34] PING\n'; 2024-04-06; 16:15:10.872999; [30/33] PONG (1);
2024-04-06; 16:15:14.993481; b'[34] PING\n'; 2024-04-06; 16:15:16.251536; KeepAlive;
2024-04-06; 16:15:16.253515; b'[34] PING\n'; 2024-04-06; 16:15:16.253515; [30/34] PONG (1);
2024-04-06; 16:15:16.253515; b'[34] PING\n'; 2024-04-06; 16:15:20.910641; KeepAlive;
2024-04-06; 16:15:20.912641; b'[35] PING\n'; 2024-04-06; 16:15:20.912641; [29/35] PONG (0);
2024-04-06; 16:15:20.912641; b'[35] PING\n'; 2024-04-06; 16:15:22.047870; KeepAlive;
2024-04-06; 16:15:22.049403; b'[35] PING\n'; 2024-04-06; 16:15:22.049403; [31/35] PONG (1);
2024-04-06; 16:15:22.049403; b'[35] PING\n'; 2024-04-06; проигнорировано; проигнорировано;
2024-04-06; 16:15:22.049403; b'[35] PING\n'; 2024-04-06; 16:15:26.601094; KeepAlive;
2024-04-06; 16:15:26.603094; b'[36] PING\n'; 2024-04-06; 16:15:26.603094; [30/36] PONG (0);
2024-04-06; 16:15:27.254500; b'[36] PING\n'; 2024-04-06; 16:15:26.603094; [30/36] PONG (0);
2024-04-06; 16:15:27.254500; b'[36] PING\n'; 2024-04-06; 16:15:32.261898; KeepAlive;
2024-04-06; 16:15:32.263899; b'[37] PING\n'; 2024-04-06; 16:15:32.263899; [30/37] PONG (0);
2024-04-06; 16:15:32.263899; b'[37] PING\n'; 2024-04-06; 16:15:32.942614; KeepAlive;
2024-04-06; 16:15:32.944598; b'[37] PING\n'; 2024-04-06; 16:15:32.944598; [33/37] PONG (1);
2024-04-06; 16:15:32.944598; b'[37] PING\n'; 2024-04-06; 16:15:38.045820; KeepAlive;
2024-04-06; 16:15:38.047823; b'[38] PING\n'; 2024-04-06; 16:15:38.047823; [31/38] PONG (0);
2024-04-06; 16:15:38.047823; b'[38] PING\n'; 2024-04-06; 16:15:38.378092; KeepAlive;
2024-04-06; 16:15:38.380075; b'[38] PING\n'; 2024-04-06; 16:15:38.380075; [34/38] PONG (1);
2024-04-06; 16:15:38.380075; b'[38] PING\n'; 2024-04-06; 16:15:43.908812; KeepAlive;
2024-04-06; 16:15:43.910813; b'[39] PING\n'; 2024-04-06; 16:15:43.910813; [32/39] PONG (0);
2024-04-06; 16:15:43.910813; b'[39] PING\n'; 2024-04-06; 16:15:44.146484; KeepAlive;
2024-04-06; 16:15:44.148466; b'[39] PING\n'; 2024-04-06; 16:15:44.148466; [35/39] PONG (1);
2024-04-06; 16:15:44.148466; b'[39] PING\n'; 2024-04-06; проигнорировано; проигнорировано;
2024-04-06; 16:15:49.604197; b'[40] PING\n'; 2024-04-06; проигнорировано; проигнорировано;
2024-04-06; 16:15:49.882197; b'[40] PING\n'; 2024-04-06; проигнорировано; проигнорировано;
2024-04-06; 16:15:49.882197; b'[40] PING\n'; 2024-04-06; 16:15:55.249894; KeepAlive;
2024-04-06; 16:15:55.251431; b'[41] PING\n'; 2024-04-06; 16:15:55.251431; [37/41] PONG (1);
2024-04-06; 16:15:55.251431; b'[41] PING\n'; 2024-04-06; 16:15:55.518768; KeepAlive;
2024-04-06; 16:15:55.519769; b'[41] PING\n'; 2024-04-06; 16:15:55.519769; [33/41] PONG (0);
2024-04-06; 16:15:55.519769; b'[41] PING\n'; 2024-04-06; 16:16:00.638818; KeepAlive;
2024-04-06; 16:16:00.640799; b'[42] PING\n'; 2024-04-06; 16:16:00.640799; [34/42] PONG (0);
2024-04-06; 16:16:00.640799; b'[42] PING\n'; 2024-04-06; 16:16:01.035455; KeepAlive;
2024-04-06; 16:16:01.036455; b'[42] PING\n'; 2024-04-06; 16:16:01.036455; [38/42] PONG (1);
2024-04-06; 16:16:01.036455; b'[42] PING\n'; 2024-04-06; 16:16:05.894588; KeepAlive;
2024-04-06; 16:16:05.896570; b'[43] PING\n'; 2024-04-06; 16:16:05.896570; [35/43] PONG (0);
2024-04-06; 16:16:05.896570; b'[43] PING\n'; 2024-04-06; 16:16:06.901486; KeepAlive;
2024-04-06; 16:16:06.903487; b'[43] PING\n'; 2024-04-06; 16:16:06.903487; [39/43] PONG (1);
2024-04-06; 16:16:06.903487; b'[43] PING\n'; 2024-04-06; 16:16:11.725339; KeepAlive;
2024-04-06; 16:16:11.727340; b'[44] PING\n'; 2024-04-06; 16:16:11.727340; [36/44] PONG (0);
2024-04-06; 16:16:11.727340; b'[44] PING\n'; 2024-04-06; 16:16:12.055908; KeepAlive;
2024-04-06; 16:16:12.056908; b'[44] PING\n'; 2024-04-06; 16:16:12.056908; [40/44] PONG (1);
2024-04-06; 16:16:12.056908; b'[44] PING\n'; 2024-04-06; 16:16:17.137279; KeepAlive;
2024-04-06; 16:16:17.139254; b'[45] PING\n'; 2024-04-06; 16:16:17.139254; [37/45] PONG (0);
2024-04-06; 16:16:17.139254; b'[45] PING\n'; 2024-04-06; 16:16:17.498049; KeepAlive;
2024-04-06; 16:16:17.500050; b'[45] PING\n'; 2024-04-06; 16:16:17.500050; [41/45] PONG (1);
2024-04-06; 16:16:17.500050; b'[45] PING\n'; 2024-04-06; 16:16:22.331996; KeepAlive;
2024-04-06; 16:16:22.332996; b'[46] PING\n'; 2024-04-06; 16:16:22.332996; [38/46] PONG (0);
2024-04-06; 16:16:22.332996; b'[46] PING\n'; 2024-04-06; 16:16:23.460939; KeepAlive;
2024-04-06; 16:16:23.462919; b'[46] PING\n'; 2024-04-06; 16:16:23.462919; [42/46] PONG (1);
2024-04-06; 16:16:23.462919; b'[46] PING\n'; 2024-04-06; 16:16:28.049970; KeepAlive;
2024-04-06; 16:16:28.051954; b'[47] PING\n'; 2024-04-06; 16:16:28.051954; [39/47] PONG (0);
2024-04-06; 16:16:28.051954; b'[47] PING\n'; 2024-04-06; 16:16:28.866806; KeepAlive;
2024-04-06; 16:16:28.868808; b'[47] PING\n'; 2024-04-06; 16:16:28.868808; [43/47] PONG (1);
2024-04-06; 16:16:28.868808; b'[47] PING\n'; 2024-04-06; проигнорировано; проигнорировано;
2024-04-06; 16:16:28.868808; b'[47] PING\n'; 2024-04-06; 16:16:33.336271; KeepAlive;
2024-04-06; 16:16:33.338272; b'[48] PING\n'; 2024-04-06; 16:16:33.338272; [40/48] PONG (0);
2024-04-06; 16:16:34.806894; b'[48] PING\n'; 2024-04-06; 16:16:33.338272; [40/48] PONG (0);
2024-04-06; 16:16:34.806894; b'[48] PING\n'; 2024-04-06; 16:16:38.767548; KeepAlive;
2024-04-06; 16:16:38.769550; b'[49] PING\n'; 2024-04-06; 16:16:38.769550; [40/49] PONG (0);
2024-04-06; 16:16:38.769550; b'[49] PING\n'; 2024-04-06; 16:16:40.774263; KeepAlive;
2024-04-06; 16:16:40.775264; b'[49] PING\n'; 2024-04-06; 16:16:40.775264; [45/49] PONG (1);
2024-04-06; 16:16:40.775264; b'[49] PING\n'; 2024-04-06; 16:16:44.464838; KeepAlive;
2024-04-06; 16:16:44.466839; b'[50] PING\n'; 2024-04-06; 16:16:44.466839; [41/50] PONG (0);
2024-04-06; 16:16:44.466839; b'[50] PING\n'; 2024-04-06; 16:16:46.466476; KeepAlive;
2024-04-06; 16:16:46.468479; b'[50] PING\n'; 2024-04-06; 16:16:46.468479; [46/50] PONG (1);
2024-04-06; 16:16:46.468479; b'[50] PING\n'; 2024-04-06; проигнорировано; проигнорировано;
2024-04-06; 16:16:46.468479; b'[50] PING\n'; 2024-04-06; 16:16:49.721528; KeepAlive;
2024-04-06; 16:16:49.723527; b'[51] PING\n'; 2024-04-06; 16:16:49.723527; [42/51] PONG (0);
2024-04-06; 16:16:52.018098; b'[51] PING\n'; 2024-04-06; 16:16:49.723527; [42/51] PONG (0);
2024-04-06; 16:16:52.018098; b'[51] PING\n'; 2024-04-06; 16:16:54.965595; KeepAlive;
2024-04-06; 16:16:54.967596; b'[52] PING\n'; 2024-04-06; 16:16:54.967596; [42/52] PONG (0);
2024-04-06; 16:16:54.967596; b'[52] PING\n'; 2024-04-06; 16:16:57.993979; KeepAlive;
2024-04-06; 16:16:57.994981; b'[52] PING\n'; 2024-04-06; 16:16:57.994981; [48/52] PONG (1);
